,mmsi,latitude,longitude,speed,heading,course,rot,draught,geo_index,point
5105,224485000,36.720917,-3.5240283,0.0,25.0,228.9,-9.0,,2366,POINT(-3.5240283 36.720917)
5106,224485000,36.720913,-3.524005,0.0,25.0,228.9,-8.0,,2366,POINT(-3.524005 36.720913)
5107,224485000,36.720882,-3.524025,0.0,25.0,238.1,-11.0,,2366,POINT(-3.524025 36.720882)
5108,224485000,36.720863,-3.52406,0.0,25.0,135.9,8.0,,2366,POINT(-3.52406 36.720863)
5109,224485000,36.720806,-3.5240183,0.0,25.0,258.5,9.0,,2366,POINT(-3.5240183 36.720806)
5110,224485000,36.720905,-3.5240283,0.0,25.0,228.9,-8.0,,2366,POINT(-3.5240283 36.720905)
5111,224485000,36.720856,-3.5239518,0.0,25.0,228.9,7.0,,2366,POINT(-3.5239518 36.720856)
5112,224485000,36.720947,-3.5240183,0.0,25.0,228.9,-9.0,,2366,POINT(-3.5240183 36.720947)
5113,224485000,36.720856,-3.523885,0.0,25.0,228.9,9.0,,2366,POINT(-3.523885 36.720856)
5114,224485000,36.720867,-3.5239782,0.0,25.0,238.1,9.0,,2366,POINT(-3.5239782 36.720867)
5115,224485000,36.720898,-3.5240066,0.0,25.0,238.1,-11.0,,2366,POINT(-3.5240066 36.720898)
5116,224485000,36.72088,-3.5240617,0.0,25.0,261.2,9.0,,2366,POINT(-3.5240617 36.72088)
5117,224485000,36.720802,-3.5239666,0.0,25.0,219.0,-11.0,,2366,POINT(-3.5239666 36.720802)
5118,224485000,36.72093,-3.5240283,0.0,25.0,228.9,12.0,,2366,POINT(-3.5240283 36.72093)
5119,224485000,36.720898,-3.5240283,0.0,25.0,228.9,-5.0,,2366,POINT(-3.5240283 36.720898)
5120,224485000,36.720837,-3.52398,0.0,25.0,248.3,9.0,,2366,POINT(-3.52398 36.720837)
5121,224485000,36.720943,-3.5240283,0.0,25.0,228.9,8.0,,2366,POINT(-3.5240283 36.720943)
5122,224485000,36.720867,-3.5240166,0.0,25.0,248.3,-7.0,,2366,POINT(-3.5240166 36.720867)
5123,224485000,36.720886,-3.5240934,0.0,25.0,228.9,8.0,,2366,POINT(-3.5240934 36.720886)
5125,224485000,36.7208,-3.5239317,0.0,25.0,228.9,-8.0,,2366,POINT(-3.5239317 36.7208)
5126,224485000,36.720825,-3.524,0.0,25.0,261.2,8.0,,2366,POINT(-3.524 36.720825)
5127,224485000,36.720764,-3.5239317,0.0,25.0,219.0,9.0,,2366,POINT(-3.5239317 36.720764)
5128,224485000,36.720932,-3.5239134,0.0,25.0,219.0,-5.0,,2366,POINT(-3.5239134 36.720932)
5129,224485000,36.720943,-3.5240417,0.0,25.0,228.9,8.0,,2366,POINT(-3.5240417 36.720943)
5130,224485000,36.720863,-3.5240283,0.0,25.0,228.9,-7.0,,2366,POINT(-3.5240283 36.720863)
5131,224485000,36.72084,-3.5240033,0.0,25.0,258.5,-11.0,,2366,POINT(-3.5240033 36.72084)
5132,224485000,36.720806,-3.5240817,0.0,25.0,258.5,-11.0,,2366,POINT(-3.5240817 36.720806)
5133,224485000,36.720844,-3.5239732,0.0,25.0,258.5,7.0,,2366,POINT(-3.5239732 36.720844)
5134,224485000,36.72084,-3.5240066,0.0,25.0,235.1,-7.0,,2366,POINT(-3.5240066 36.72084)
5136,224485000,36.720894,-3.5240366,0.0,25.0,258.5,11.0,,2366,POINT(-3.5240366 36.720894)
5137,224485000,36.72088,-3.5239966,0.0,25.0,261.2,11.0,,2366,POINT(-3.5239966 36.72088)
5138,224485000,36.720875,-3.52408,0.0,25.0,261.2,-8.0,,2366,POINT(-3.52408 36.720875)
5139,224485000,36.720867,-3.5240784,0.0,25.0,261.2,8.0,,2366,POINT(-3.5240784 36.720867)
5140,224485000,36.720795,-3.52395,0.0,25.0,228.9,-8.0,,2366,POINT(-3.52395 36.720795)
5141,224485000,36.720825,-3.5240517,0.0,25.0,239.7,5.0,,2366,POINT(-3.5240517 36.720825)
5142,224485000,36.720936,-3.524045,0.0,25.0,258.5,-7.0,,2366,POINT(-3.524045 36.720936)
5143,224485000,36.720886,-3.5240033,0.0,25.0,235.1,11.0,,2366,POINT(-3.5240033 36.720886)
